total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,final_nav,daily_win_rate,best_day,worst_day,variant,ref_mode,start_frac,full_frac,gamma,min_ref,avg_gross,max_gross,days_gross_over_100,days_gross_over_120,days_any_name_at_13
18.838006550918657,0.9555959833334582,0.3329949397674742,2.13594936228532,3.380718674039847,-0.3194541337646838,2.991340171660978,19.838006550918657,0.5326370757180157,0.12492850863146326,-0.12098948108947291,dynamic,full_sample,0.0,0.65,3.0,,0.8722337495794928,1.1621974092226512,121,0,852
18.389209028945153,0.9455757300020875,0.3280553700102731,2.147784219078396,3.4103538743443167,-0.3153910390864664,2.99810588386074,19.389209028945153,0.5326370757180157,0.12481263323414066,-0.11753685990422266,dynamic,full_sample,0.0,0.65,4.0,,0.8598538184385592,1.1598771747962613,85,0,852
17.924549697226464,0.9350099861833701,0.3225648961029527,2.1622525450549017,3.4459927041541683,-0.3115955083605453,3.00071715122888,18.924549697226464,0.5326370757180157,0.1245996464121632,-0.11339542642904374,dynamic,full_sample,0.0,0.65,6.0,,0.845648695352331,1.1556124269020778,56,0,852
24.422680946139703,1.0675797023800389,0.3718053409743703,2.0963096461208517,3.2709986139633456,-0.3617973959969435,2.9507666837631357,25.422680946139703,0.5378590078328982,0.13888236414703847,-0.13644776525875074,dynamic,full_sample,0.0,0.8,0.5,,0.9567383050894308,1.1545180330175637,302,0,754
22.213817585160818,1.0258181181661832,0.3581536526742916,2.1065741573468153,3.298356862020206,-0.3470976656944431,2.9554163555488473,23.213817585160818,0.5378590078328982,0.13273845071576476,-0.13195550586533236,dynamic,full_sample,0.0,0.8,0.75,,0.9269448107459628,1.1473168682211505,169,0,754
20.819994533727037,0.9978524142391019,0.3483329253923016,2.1169588816257807,3.3242378733633617,-0.3364619839079869,2.9657211273889033,21.819994533727037,0.536118363794604,0.1292714420149636,-0.1281238016972506,dynamic,full_sample,0.0,0.8,1.0,,0.9046661789345836,1.1404505731395935,65,0,754
19.20700154750183,0.9637036316203784,0.335218633588469,2.1360634689723192,3.3698400005938978,-0.32239337670395474,2.9892165945621203,20.20700154750183,0.5317667536988686,0.12604258717583777,-0.12202480441950922,dynamic,full_sample,0.0,0.8,1.5,,0.87350943941805,1.1276537823374047,28,0,754
18.319822638429887,0.9440105347925389,0.326898120902051,2.1518120913152106,3.4065670580849865,-0.3137888001927759,3.0084264773394933,19.319822638429887,0.5308964316797214,0.12483488163518548,-0.1174871657636007,dynamic,full_sample,0.0,0.8,2.0,,0.8526881910225209,1.1159994539956042,20,0,754
17.368206245210608,0.9220914640752567,0.31697764963569236,2.1740375495581596,3.4565510315017836,-0.30422994665887626,3.0309030199093767,18.368206245210608,0.5308964316797214,0.12413833503428398,-0.1114200992324835,dynamic,full_sample,0.0,0.8,3.0,,0.8264571456572757,1.0956730907122116,14,0,754
16.849678521082566,0.9097748848776146,0.311284680964297,2.1878187312201467,3.4857078429979027,-0.29918623718566995,3.040831334474198,17.849678521082566,0.5317667536988686,0.1240044091006085,-0.10772394657954128,dynamic,full_sample,0.0,0.8,4.0,,0.8105029924477009,1.0786960971040547,13,0,754
16.270202912977,0.8956778248248956,0.3050250887588669,2.2025971502511736,3.513309732739459,-0.29398447390372484,3.0466841086247824,17.270202912977,0.5326370757180157,0.12396968446749511,-0.10367128767662395,dynamic,full_sample,0.0,0.8,6.0,,0.7919154194281044,1.0524364937075883,7,0,754
