rank,rank_label,display_order,is_pinned,ticker,label,date,drawdown,close
12.0,12,12,False,HK.01347,01347,2025-04-14,-0.13269,35.95
12.0,12,12,False,HK.01347,01347,2025-04-15,-0.160434,34.8
12.0,12,12,False,HK.01347,01347,2025-04-16,-0.155609,35.0
12.0,12,12,False,HK.01347,01347,2025-04-17,-0.127865,36.15
12.0,12,12,False,HK.01347,01347,2025-04-22,-0.082027,38.05
12.0,12,12,False,HK.01347,01347,2025-04-23,-0.092883,37.6
12.0,12,12,False,HK.01347,01347,2025-04-24,-0.115802,36.65
12.0,12,12,False,HK.01347,01347,2025-04-25,-0.171291,34.35
12.0,12,12,False,HK.01347,01347,2025-04-28,-0.166466,34.55
12.0,12,12,False,HK.01347,01347,2025-04-29,-0.156815,34.95
12.0,12,12,False,HK.01347,01347,2025-04-30,-0.144753,35.45
12.0,12,12,False,HK.01347,01347,2025-05-02,-0.12304,36.35
12.0,12,12,False,HK.01347,01347,2025-05-06,-0.124246,36.3
12.0,12,12,False,HK.01347,01347,2025-05-07,-0.150784,35.2
12.0,12,12,False,HK.01347,01347,2025-05-08,-0.149578,35.25
12.0,12,12,False,HK.01347,01347,2025-05-09,-0.217129,32.45
12.0,12,12,False,HK.01347,01347,2025-05-12,-0.20386,33.0
12.0,12,12,False,HK.01347,01347,2025-05-13,-0.237636,31.6
12.0,12,12,False,HK.01347,01347,2025-05-14,-0.244873,31.3
12.0,12,12,False,HK.01347,01347,2025-05-15,-0.268999,30.3
12.0,12,12,False,HK.01347,01347,2025-05-16,-0.278649,29.9
12.0,12,12,False,HK.01347,01347,2025-05-19,-0.253317,30.95
12.0,12,12,False,HK.01347,01347,2025-05-20,-0.24608,31.25
12.0,12,12,False,HK.01347,01347,2025-05-21,-0.243667,31.35
12.0,12,12,False,HK.01347,01347,2025-05-22,-0.252111,31.0
12.0,12,12,False,HK.01347,01347,2025-05-23,-0.256936,30.8
12.0,12,12,False,HK.01347,01347,2025-05-26,-0.237636,31.6
12.0,12,12,False,HK.01347,01347,2025-05-27,-0.250905,31.05
12.0,12,12,False,HK.01347,01347,2025-05-28,-0.259349,30.7
12.0,12,12,False,HK.01347,01347,2025-05-29,-0.214717,32.55
12.0,12,12,False,HK.01347,01347,2025-05-30,-0.237636,31.6
12.0,12,12,False,HK.01347,01347,2025-06-02,-0.258142,30.75
12.0,12,12,False,HK.01347,01347,2025-06-03,-0.254524,30.9
12.0,12,12,False,HK.01347,01347,2025-06-04,-0.259349,30.7
12.0,12,12,False,HK.01347,01347,2025-06-05,-0.227986,32.0
12.0,12,12,False,HK.01347,01347,2025-06-06,-0.235223,31.7
12.0,12,12,False,HK.01347,01347,2025-06-09,-0.215923,32.5
12.0,12,12,False,HK.01347,01347,2025-06-10,-0.240048,31.5
