rank_combined,fast_window,mid_window,slow_window,selection_style,final_count,strategy_nav,strategy_return_pct,max_drawdown_pct,target_buy_count,target_holding_days,target_signal_days,target_latest_in_basket,target_pnl_dollar,target_buy_cost,target_sell_proceeds,target_ending_market_value,target_pnl_rank,target_buy_count_rank,target_holding_days_rank,combined_score,latest_basket,notes
71,3,8,15,waterfall,15,0.961087877498663,-3.891212250133702,-28.71313231007193,7,28,36,False,13344.872828863794,342223.3400849615,355568.2129138253,0.0,76,31,70,1407.2301324279317,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
72,3,8,15,waterfall,20,0.961087877498663,-3.891212250133702,-28.71313231007193,7,28,36,False,13344.872828863794,342223.3400849615,355568.2129138253,0.0,76,31,70,1407.2301324279317,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
73,3,8,20,waterfall,10,1.0742943101153024,7.429431011530241,-22.427306453541906,7,27,35,False,11465.473496487946,365457.8464314671,376923.31992795505,0.0,94,31,79,1394.1678613553288,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
74,3,8,20,waterfall,15,1.0742943101153024,7.429431011530241,-22.427306453541906,7,27,35,False,11465.473496487946,365457.8464314671,376923.31992795505,0.0,94,31,79,1394.1678613553288,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
75,3,8,20,waterfall,20,1.0742943101153024,7.429431011530241,-22.427306453541906,7,27,35,False,11465.473496487946,365457.8464314671,376923.31992795505,0.0,94,31,79,1394.1678613553288,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
76,3,8,20,dual_objective,10,1.0561607095979941,5.616070959799413,-22.544553396905854,7,27,35,False,11591.75361776055,364656.27313731564,376248.0267550762,0.0,88,31,79,1392.648996967252,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
77,3,8,20,dual_objective,15,1.0561607095979941,5.616070959799413,-22.544553396905854,7,27,35,False,11591.75361776055,364656.27313731564,376248.0267550762,0.0,88,31,79,1392.648996967252,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
78,3,8,20,dual_objective,20,1.0561607095979941,5.616070959799413,-22.544553396905854,7,27,35,False,11591.75361776055,364656.27313731564,376248.0267550762,0.0,88,31,79,1392.648996967252,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
79,5,10,20,waterfall,10,1.1552017199219233,15.520171992192333,-17.526208246672837,5,33,43,False,10343.553461624222,254962.82616207076,265306.379623695,0.0,100,85,31,1349.642192231977,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.03696,
80,5,10,20,waterfall,15,1.1552017199219233,15.520171992192333,-17.526208246672837,5,33,43,False,10343.553461624222,254962.82616207076,265306.379623695,0.0,100,85,31,1349.642192231977,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.03696,
