base_series,kind,source,full_dd,gamma,smooth,max_delta,avg_exposure,days_at_130,days_at_80,total_return,cagr,ann_vol,sharpe,max_drawdown,final_nav,daily_win_rate
available_equal_weight,dynamic,levered,0.05,0.5,0.75,0.01,1.2141805063990758,656,2,29.440440501947332,1.1529019397247744,0.4386736624813732,1.9293256794950877,-0.4707062641703411,30.440440501947332,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.75,0.02,1.2081332326560223,669,2,26.99615355134293,1.1128241628442441,0.43637765504695986,1.8948269258125205,-0.48029162924102053,27.99615355134293,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.75,0.05,1.2055463626165213,676,2,26.072148661384198,1.0969652164797061,0.43862910747013273,1.8703430773018148,-0.492087955236179,27.072148661384198,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.75,0.1,1.2061076317167645,676,2,26.215677514301753,1.0994559052295751,0.43964927120169106,1.8696463660409068,-0.4926543143399623,27.215677514301753,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.9,999.0,1.2071212715045316,585,2,27.823967492172923,1.1266910388168059,0.43858057270925255,1.9019372769004155,-0.48453131164104934,28.823967492172923,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.9,0.01,1.2111712649489472,578,2,28.97299518094524,1.1454355836230934,0.43718597773484397,1.9266009403067592,-0.4709440959283063,29.97299518094524,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.9,0.02,1.208882516343037,585,2,27.854299773436885,1.1271932440694696,0.43775774873352363,1.9053459429452897,-0.4802073866137878,28.854299773436885,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.9,0.05,1.2071212715045316,585,2,27.823967492172923,1.1266910388168059,0.43858057270925255,1.9019372769004155,-0.48453131164104934,28.823967492172923,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.9,0.1,1.2071212715045316,585,2,27.823967492172923,1.1266910388168059,0.43858057270925255,1.9019372769004155,-0.48453131164104934,28.823967492172923,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.95,999.0,1.2060021492781268,487,2,28.94500004596657,1.1449855676610965,0.43681598981338865,1.9271246680682104,-0.4753941512684885,29.94500004596657,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.95,0.01,1.2096508066695426,477,2,29.70885833095902,1.157149187722447,0.43726729412478105,1.9384165573937648,-0.46952488317439955,30.70885833095902,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.95,0.02,1.2062001142771952,487,2,28.963296747745495,1.1452797202457976,0.4368637623225581,1.9272704375035086,-0.4753941512684885,29.963296747745495,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.95,0.05,1.2060021492781268,487,2,28.94500004596657,1.1449855676610965,0.43681598981338865,1.9271246680682104,-0.4753941512684885,29.94500004596657,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.95,0.1,1.2060021492781268,487,2,28.94500004596657,1.1449855676610965,0.43681598981338865,1.9271246680682104,-0.4753941512684885,29.94500004596657,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.0,999.0,1.197591021335465,827,149,21.319721151693315,1.0080341516298819,0.43745259842937545,1.777283365533077,-0.49663111841106944,22.319721151693315,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.0,0.01,1.1995765498215727,683,5,24.689748921115708,1.0724359821345604,0.42819962945488155,1.8789844384979628,-0.4699939012196688,25.689748921115708,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.0,0.02,1.1960266100405241,716,18,23.469890919119386,1.0499254927266137,0.42874564209788657,1.8519216025043026,-0.48086733262516834,24.469890919119386,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.0,0.05,1.1910051961020844,767,62,22.6497985650837,1.0342979015808984,0.4302030923984011,1.8294449599888811,-0.495161339737514,23.6497985650837,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.0,0.1,1.19383854454792,791,99,23.405950868965206,1.0487217818793462,0.4354058901771177,1.8285900278560943,-0.49485411289477865,24.405950868965206,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.25,999.0,1.1968652622552434,771,45,21.936734536298808,1.0203644819899176,0.4364475082927419,1.794158333561305,-0.4955298361769507,22.936734536298808,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.25,0.01,1.1994286822778764,680,3,24.67668274124285,1.072199303946317,0.42808693704795353,1.8791037222463347,-0.46977473060366604,25.67668274124285,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.25,0.02,1.1956022330027278,704,8,23.47562098680977,1.0500332456438906,0.4287374074199253,1.8520622671000806,-0.4808398254060068,24.47562098680977,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.25,0.05,1.1913843382791922,747,24,22.757536286630625,1.036374687834126,0.4305422187846084,1.8306693011602413,-0.4944735309333739,23.757536286630625,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.25,0.1,1.1948567401517747,762,31,23.47903646414844,1.0500974637903728,0.43589647456964936,1.8285546475314352,-0.4946202639694536,24.47903646414844,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.5,999.0,1.1959313800933826,734,13,23.008362603266477,1.0411815488742828,0.4357515492678204,1.819343215052423,-0.4939210087786343,24.008362603266477,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.5,0.01,1.1990678705454438,674,2,24.591883922209085,1.0706610006691997,0.4278466221692377,1.878216894664162,-0.4696732465570288,25.591883922209085,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.5,0.02,1.1953733501775554,692,5,23.61216900759472,1.0525952381550652,0.4290023823036489,1.8540203534070407,-0.4806846223197182,24.61216900759472,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.5,0.05,1.192234464011982,723,10,23.000208636807386,1.041025899318436,0.43126286478802034,1.8335156084832793,-0.49337415876680235,24.000208636807386,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.5,0.1,1.1946218855098847,733,13,23.573931110869157,1.051878910223432,0.435371451357453,1.8322251167137484,-0.49358847432758257,24.573931110869157,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.75,999.0,1.194829002888042,666,2,24.666617618623246,1.0720169226189666,0.4342127551956469,1.857972702874244,-0.4903893840020602,25.666617618623246,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.75,0.01,1.198313745260962,653,2,24.434940796438713,1.0678034959263814,0.4275599218036986,1.8760152736130535,-0.4698127347054579,25.434940796438713,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.75,0.02,1.1953630740749586,664,2,23.902329317462627,1.0580030061123482,0.4293638680991974,1.8588092899363935,-0.4801821488670751,24.902329317462627,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.75,0.05,1.19407932172263,668,2,23.79594007890097,1.0560259132120566,0.43237018716979975,1.8465381996165777,-0.4900450019665221,24.79594007890097,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.75,0.1,1.1947690619872893,666,2,24.629470422995652,1.0713433301450093,0.4341625423633541,1.8574063199995265,-0.4903893840020602,25.629470422995652,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.9,999.0,1.1967321222292318,578,2,26.045612360214488,1.0965036049049535,0.4333880492485241,1.88724060484688,-0.48236108857486804,27.045612360214488,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.9,0.01,1.197684656908315,574,2,24.811370652671993,1.0746345474481882,0.4281033062101506,1.8816588367440505,-0.4703778406861565,25.811370652671993,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.9,0.02,1.1974161367546325,579,2,25.53468066831068,1.0875464558379582,0.43160445077075166,1.883650426831717,-0.47919780452416827,26.53468066831068,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.9,0.05,1.1967321222292318,578,2,26.045612360214488,1.0965036049049535,0.4333880492485241,1.88724060484688,-0.48236108857486804,27.045612360214488,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.9,0.1,1.1967321222292318,578,2,26.045612360214488,1.0965036049049535,0.4333880492485241,1.88724060484688,-0.48236108857486804,27.045612360214488,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.95,999.0,1.1960247672461182,486,2,27.176243362047636,1.1158676838865507,0.4317681555885182,1.9136031825669335,-0.4738224886851399,28.176243362047636,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.95,0.01,1.198761271691685,477,2,26.8385897243416,1.1101488531096182,0.4306564968255684,1.9114773409933625,-0.46917697041166384,27.8385897243416,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.95,0.02,1.196140024010516,486,2,27.182388838247842,1.1159712760498604,0.43179582615728623,1.9136199214811969,-0.4738224886851399,28.182388838247842,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.95,0.05,1.1960247672461182,486,2,27.176243362047636,1.1158676838865507,0.4317681555885182,1.9136031825669335,-0.4738224886851399,28.176243362047636,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.75,0.95,0.1,1.1960247672461182,486,2,27.176243362047636,1.1158676838865507,0.4317681555885182,1.9136031825669335,-0.4738224886851399,28.176243362047636,0.5369886858137511
