date,variant,US.SNDK,HK.01888,HK.02513,US.WDC,US.MU,HK.00148,US.STX,US.BE,US.NBIS,US.TTMI
2022-08-09,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-10,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-11,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-12,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-15,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-16,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-17,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-19,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-22,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-23,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-24,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-25,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-26,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-29,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-30,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-31,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-01,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-02,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-05,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-06,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-08,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-09,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
